Brand,Rating,Processor,Display,OS,RAMSize,RAMType,Storage_HDD,Storage_SSD,MRP
ASUS,4.0,Intel Celeron Dual Core Processor,35.56,Windows,4,DDR4 ,0,256,23990.0
HP,4.3,AMD Ryzen 5 Hexa Core Processor,35.56,Windows,16,DDR4 ,0,512,48990.0
APPLE,4.7,Apple M2 Processor,33.78,Mac,8,Unified Memory ,0,512,139990.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,512,89990.0
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.5,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,1000,59990.0
DELL,4.6,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,16,DDR4 ,0,512,70990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,194990.0
Lenovo,4.3,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,44990.0
Infinix,4.2,Intel Celeron Quad Core Processor,35.56,Windows,8,LPDDR4X ,0,256,22990.0
HP,4.3,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,46990.0
ASUS,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,1000,256,50990.0
Infinix,4.2,Intel Core i3 Processor,35.56,Windows,8,LPDDR4X ,0,256,28990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
MSI,4.3,Intel Core i7 Processor,39.62,Windows,16,DDR4 ,0,512,84990.0
APPLE,4.8,Apple M1 Pro Processor,36.07,Mac,16,Unified Memory ,0,512,181990.0
